Price,Close,High,Low,Open,Volume,EMA_9,SMA_5,SMA_15,SMA_30,RSI,MACD,MACD_signal,Target_Close
2010-02-18,2559.934326171875,2581.340475660987,2550.429813188628,2581.340475660987,26304700.0,2546.5898831301247,2550.195166015625,2546.771516927083,2587.2102783203127,49.178608214399695,-15.265432267578035,-20.6302754450522,2554.2763671875
2010-02-19,2554.2763671875,2559.83327939028,2527.6465462983306,2559.83327939028,21925400.0,2548.1271799416,2554.2427734375,2543.010319010417,2585.210546875,48.21015045639363,-13.673628674509018,-19.238946090943564,2564.163330078125
2010-02-22,2564.163330078125,2574.8689688865043,2553.7147613615366,2554.679811763104,19028500.0,2551.334409968905,2563.60380859375,2541.4579915364584,2582.945939127604,50.06083960215914,-11.481960686675393,-17.68754901008993,2583.550048828125
2010-02-23,2583.550048828125,2583.5942365567034,2537.935862249132,2564.062039869509,32655900.0,2557.7775377407493,2568.632763671875,2541.684619140625,2580.4160319010416,53.56482287405195,-8.087474463310627,-15.767534100734071,2579.315673828125
2010-02-24,2579.315673828125,2582.322636927905,2555.370560430735,2582.322636927905,40083200.0,2562.0851649582246,2568.24794921875,2540.0091634114583,2578.634236653646,52.69513975814761,-5.673596659098166,-13.748746612406892,2548.933837890625
2010-02-25,2548.933837890625,2583.058487438458,2535.9934231393554,2579.214642774482,23650800.0,2559.454899544705,2566.0478515625,2537.0634765625,2575.429435221354,46.821154353302134,-6.141347723072613,-12.227266834540037,2554.574462890625
2010-03-01,2554.574462890625,2565.3369826856483,2545.7937994117183,2548.7316731377773,18985100.0,2558.478812213889,2566.107470703125,2539.4432291666667,2572.349015299479,47.98053508961283,-5.987868098288345,-10.9793870872897,2576.49072265625
2010-03-02,2576.49072265625,2576.9897266599683,2554.3734199552428,2554.3734199552428,25350600.0,2562.081194302361,2568.57294921875,2546.1775716145835,2570.150537109375,52.329269418937756,-4.051077093598451,-9.59372508855145,2566.9892578125
2010-03-03,2566.9892578125,2585.7314486804285,2552.754704101641,2576.9007374994526,34245400.0,2563.0628070043886,2565.260791015625,2551.3509602864583,2566.85126953125,50.36354733030756,-3.245433734512517,-8.324066817743663,2565.545166015625
2010-03-04,2565.545166015625,2579.432564957662,2557.270585726596,2566.8881313242327,24987400.0,2563.559278806636,2562.506689453125,2556.8312174479165,2563.4640299479165,50.05578135173494,-2.692444878745391,-7.197742429944009,2578.671630859375
2010-03-05,2578.671630859375,2582.9873808927787,2565.9541081480897,2565.9541081480897,25418300.0,2566.581749217184,2568.454248046875,2561.5657552083335,2561.477099609375,52.874782959511776,-1.1813829685579549,-5.994470537666799,2626.3486328125
2010-03-08,2626.3486328125,2627.592724980753,2578.873675296934,2578.873675296934,29813600.0,2578.5351259362474,2582.80908203125,2567.719775390625,2562.0141031901044,61.39739235934383,3.819254102278137,-4.031725609677812,2657.0634765625
2010-03-09,2657.0634765625,2657.278556073916,2624.012762220824,2626.147688812576,30408700.0,2594.2407960614983,2598.9236328125,2577.0334635416666,2563.99091796875,65.70093013781533,10.143794851767325,-1.1966215173887846,2670.114990234375
2010-03-10,2670.114990234375,2676.16968603796,2652.7457937367462,2656.7585768875683,30181300.0,2609.415634896074,2619.548779296875,2584.480777994792,2567.050927734375,67.36579603120295,16.024466958647736,2.2475961778185196,2676.41796875
2010-03-11,2676.41796875,2687.0135042798283,2661.825518225255,2670.015141387939,40847100.0,2622.816101666859,2641.72333984375,2590.825992838542,2570.7830485026043,68.16934458217789,20.952017841824272,5.98848051061967,2666.4072265625
2010-03-12,2666.4072265625,2686.132533196624,2660.9533372310025,2676.008903706985,52724000.0,2631.5343266459877,2659.270458984375,2597.9241861979167,2572.3478515625,65.4143712242606,23.775287472184118,9.54584190293256,2669.504150390625
2010-03-15,2669.504150390625,2683.003625685544,2658.4516014715923,2666.306276640478,29518100.0,2639.1282913949153,2667.9015625,2605.6060384114585,2574.3081787109377,65.8738490135737,25.963355465482437,12.829344615442537,2756.15478515625
2010-03-17,2756.15478515625,2756.15478515625,2669.303182058792,2669.303182058792,65719300.0,2662.533590147182,2687.71982421875,2618.40546875,2579.9317301432293,75.62954716613334,34.29407640489126,17.122290973332284,2737.13525390625
2010-03-18,2737.13525390625,2779.2476261006154,2718.1999568196616,2756.3554519971967,60311400.0,2677.453922898996,2701.123876953125,2628.644482421875,2585.16455078125,70.84239713232652,38.91295127018475,21.480423032702777,2742.8671875
2010-03-19,2742.8671875,2758.0184522805826,2725.5426676023294,2738.6962075319643,38764300.0,2690.536575819197,2714.413720703125,2639.547916666667,2589.7785400390626,71.4293347117384,42.545523701808634,25.69344316652395,2702.295654296875
2010-03-22,2702.295654296875,2742.565326471694,2698.1578759645763,2742.565326471694,34251000.0,2692.8883915147326,2721.59140625,2649.772037760417,2593.417757161458,61.927099194110106,41.67023137759725,28.88880080873861,2720.756103515625
2010-03-23,2720.756103515625,2746.028068543846,2702.496804839494,2702.496804839494,27466700.0,2698.4619339149112,2731.841796875,2660.8508138020834,2600.147021484375,64.25704171816437,41.98221503416835,31.507483653824558,2774.741943359375
2010-03-24,2774.741943359375,2774.741943359375,2721.058000703685,2721.058000703685,33240000.0,2713.717935803804,2735.559228515625,2674.067561848958,2610.122566731771,70.03267375512539,46.054779595550826,34.41694284216982,2799.0400390625
2010-03-25,2799.0400390625,2814.75158606365,2760.0935560903213,2773.189238055542,42022300.0,2730.782356455543,2747.940185546875,2689.5376139322916,2620.444287109375,72.20930793303485,50.659004141663445,37.665355102068546,2812.97265625
2010-03-26,2812.97265625,2812.97265625,2792.2525146322664,2799.1411628010314,40138200.0,2747.220416414434,2761.961279296875,2706.032779947917,2631.4319986979167,73.40227141083442,54.80042583643353,41.092369248941544,2794.662109375
2010-03-29,2794.662109375,2813.68627049194,2780.3216036622707,2813.3813507317177,46152900.0,2756.708755006547,2780.4345703125,2720.4321451822916,2640.9989501953123,69.19814712988443,55.959952760126725,44.06588595117858,2798.1591796875
2010-03-30,2798.1591796875,2818.83122682422,2787.3964149127182,2795.07116508794,41374000.0,2764.998839942738,2795.915185546875,2731.886181640625,2649.802978515625,69.55677532616458,56.509662337691225,46.55464122848111,2777.19287109375
2010-03-31,2777.19287109375,2809.3634932491764,2758.1545500173115,2798.5680152280424,41736300.0,2767.4376461729407,2796.40537109375,2739.894807942708,2658.4641357421874,64.69348257430488,54.62383568200585,48.168480119186064,2829.885986328125
2010-04-01,2829.885986328125,2834.130694218579,2777.5960286792792,2777.5960286792792,42051100.0,2779.9273142039774,2802.574560546875,2750.546207682292,2667.513492838542,70.31163849211401,56.727281703432254,49.88024043603531,2887.1337890625
2010-04-05,2887.1337890625,2890.0636067381056,2830.92088775995,2830.92088775995,44192300.0,2801.368609175682,2817.406787109375,2764.593929036458,2677.7099609375,74.97141270888314,62.29559226081483,52.363310800991215,2880.85693359375
2010-04-06,2880.85693359375,2911.349643962369,2871.6353684691826,2888.693542825175,84458100.0,2817.266274059296,2834.645751953125,2778.890576171875,2688.4073811848957,73.60724675183286,65.4475896428994,54.980166569372855,2898.46923828125
2010-04-07,2898.46923828125,2915.9954117247757,2881.2589705131104,2881.2589705131104,65778000.0,2833.506866903687,2854.707763671875,2794.1549153645833,2699.880476888021,74.98277463565685,68.57623195843144,57.69937964718457,2850.722900390625
2010-04-08,2850.722900390625,2898.0670028008512,2837.289341824216,2898.0670028008512,51323800.0,2836.950073601075,2869.41376953125,2800.4594563802084,2709.4324625651043,65.08031842178318,66.43712725187925,59.44692916812351,2844.900390625
2010-04-09,2844.900390625,2870.8573893573453,2833.133758209914,2850.5222423876166,42393300.0,2838.5401370058603,2872.416650390625,2807.643798828125,2718.144140625,63.970841358158566,63.53959854319828,60.26546304313847,2881.220947265625
2010-04-12,2881.220947265625,2882.6019970674947,2845.503342304941,2845.503342304941,50485000.0,2847.0762990578132,2871.23408203125,2816.8673828125,2728.2076497395833,67.67304582455023,63.44272332062701,60.900915098636176,2884.587646484375
2010-04-13,2884.587646484375,2884.8337306536623,2856.137826377345,2880.9159144346927,49876500.0,2854.5785685431256,2871.980224609375,2829.0201822916665,2739.3961100260417,68.00127371174374,62.91239853041452,61.30321178499185,2884.902587890625
2010-04-14,2884.902587890625,2897.216317521013,2875.1410050029576,2884.7885786569486,50442600.0,2860.6433724126255,2869.26689453125,2839.96328125,2750.407047526042,68.03397083229427,61.80507502028604,61.40358443205069,2900.417236328125
2010-04-15,2900.417236328125,2913.604711767813,2885.003773235079,2885.003773235079,57186200.0,2868.5981451957255,2879.20576171875,2848.3416341145835,2761.204597981771,69.67771994517568,61.47081829915669,61.4170312054719,2878.558837890625
2010-04-16,2878.558837890625,2903.16505771981,2860.8156321384718,2900.72106106624,36312000.0,2870.5902837347057,2885.937451171875,2853.642887369792,2771.5902506510415,64.63488339145144,58.76472420298205,60.88656980497394,2840.314697265625
2010-04-19,2840.314697265625,2877.8562074574197,2811.678846931588,2877.8562074574197,37623100.0,2864.53516644089,2877.756201171875,2855.4656901041667,2780.749235026042,56.87848302612625,52.92406690737016,59.294069225453185,2891.157470703125
2010-04-20,2891.157470703125,2892.507515803956,2840.515399161343,2840.515399161343,40735900.0,2869.8596272933373,2879.070166015625,2861.898714192708,2791.1654296875,63.20085429123962,51.80076386556675,57.7954081534759,2912.712646484375
2010-04-21,2912.712646484375,2916.438575794244,2891.358496521444,2891.358496521444,65446100.0,2878.430231131545,2884.632177734375,2869.535611979167,2800.710896809896,65.50967530589926,52.04986224139839,56.6462989710604,2926.41796875
2010-04-22,2926.41796875,2927.2799957121783,2882.9015977479257,2912.612598406122,50073500.0,2888.027778655236,2889.83232421875,2879.483951822917,2809.6893798828123,66.93038089578096,52.74516602437734,55.8660723817238,2924.616943359375
2010-04-23,2924.616943359375,2926.274837712167,2906.916705653517,2926.0158146068347,38537700.0,2895.3456115960644,2899.0439453125,2885.799348958333,2818.1727783203123,66.542479757134,52.54516364626943,55.20189063463293,2944.594482421875
2010-04-26,2944.594482421875,2954.71420609912,2924.8181518244955,2924.8181518244955,40750000.0,2905.1953857612266,2919.89990234375,2889.630061848958,2827.111995442708,68.70881938275998,53.38331118240967,54.83817474418828,2939.184814453125
2010-04-27,2939.184814453125,2944.325483755473,2930.3050326924613,2943.5625739596885,42008700.0,2911.9932714996066,2929.50537109375,2893.518587239583,2836.204581705729,67.43550768005312,53.00008219262054,54.47055623387473,2903.2060546875
2010-04-28,2903.2060546875,2938.8836206499886,2875.556008202629,2938.8836206499886,51624300.0,2910.2358281371853,2927.604052734375,2893.834375,2843.9946451822916,59.53339599920805,49.225741524814566,53.4215932920627,2926.74609375
2010-04-29,2926.74609375,2927.850054650594,2903.406915055245,2903.406915055245,61415100.0,2913.5378812597482,2927.669677734375,2898.902587890625,2849.6810221354167,62.61972813940802,47.58549777553799,52.254374188757765,2971.136474609375
2010-04-30,2971.136474609375,2972.8014489596785,2927.1472175333943,2927.1472175333943,52354600.0,2925.057599929674,2936.973583984375,2907.318326822917,2857.481062825521,67.63293472044057,49.29923464707417,51.66334628042105,2960.77978515625
2010-05-03,2960.77978515625,2982.241840472071,2950.3170576028992,2971.631413589095,40869300.0,2932.2020369749894,2940.21064453125,2912.622249348958,2864.7448160807294,65.42820715632867,49.25391668809061,51.18146036195497,2958.89990234375
